clusterName,markerGene,score
astrocyte,ENSG00000230490,0.5648610121168923
astrocyte,ENSG00000227036,0.5648610121168923
amacrine cell,ENSG00000245526,0.05654475457170356
amacrine cell,ENSG00000229989,0.05654475457170356
amacrine cell,ENSG00000258162,0.05654475457170356
retinal cone cell,ENSG00000249364,0.7472517488870719
retinal rod cell,ENSG00000257165,0.9035820091570159
Mueller cell,ENSG00000228740,0.865200942119026
retinal ganglion cell,ENSG00000214870,0.10002598077422707
retinal ganglion cell,ENSG00000234377,0.10002598077422707
retinal ganglion cell,ENSG00000245694,0.10002598077422707
retinal ganglion cell,ENSG00000271945,0.10002598077422707
retinal bipolar neuron,ENSG00000259481,0.6120658018604502
retinal bipolar neuron,ENSG00000248550,0.6120658018604502
rod bipolar cell,ENSG00000227681,0.8718564472016543
rod bipolar cell,ENSG00000264630,0.8718564472016543
retinal pigment epithelial cell,ENSG00000230448,0.7865535248041775
S cone cell,ENSG00000250592,0.3833049403747871
S cone cell,ENSG00000261460,0.3833049403747871
S cone cell,ENSG00000250994,0.3833049403747871
S cone cell,ENSG00000249364,0.3833049403747871
S cone cell,ENSG00000259221,0.3833049403747871
H1 horizontal cell,ENSG00000224020,0.14839400428265526
H2 horizontal cell,ENSG00000244040,0.46284867933843493
H2 horizontal cell,ENSG00000235688,0.46284867933843493
starburst amacrine cell,ENSG00000240922,0.4166666666666667
starburst amacrine cell,ENSG00000242808,0.4166666666666667
starburst amacrine cell,ENSG00000253554,0.4166666666666667
midget ganglion cell of retina,ENSG00000257398,0.8760310430295396
midget ganglion cell of retina,ENSG00000239911,0.8760310430295396
parasol ganglion cell of retina,ENSG00000227115,0.6689655172413793
parasol ganglion cell of retina,ENSG00000232044,0.6689655172413793
parasol ganglion cell of retina,ENSG00000286214,0.6689655172413793
GABAergic amacrine cell,ENSG00000233452,0.5409177726627161
GABAergic amacrine cell,ENSG00000281880,0.5409177726627161
glycinergic amacrine cell,ENSG00000245526,0.1461577096936213
glycinergic amacrine cell,ENSG00000247828,0.1461577096936213
glycinergic amacrine cell,ENSG00000235244,0.1461577096936213
