clusterName,markerGene,onTarget_per_gene,onTarget
astrocyte,ENSG00000230490,1.0,0.8630891
astrocyte,ENSG00000227036,0.72617817,0.8630891
amacrine cell,ENSG00000245526,0.20631358,0.20631358
amacrine cell,ENSG00000229989,0.22261888,0.20631358
amacrine cell,ENSG00000258162,0.1577197,0.20631358
retinal cone cell,ENSG00000249364,0.41151178,0.41151178
retinal rod cell,ENSG00000257165,1.0,1.0
Mueller cell,ENSG00000228740,1.0,1.0
retinal ganglion cell,ENSG00000214870,1.0,0.52104497
retinal ganglion cell,ENSG00000234377,0.52765566,0.52104497
retinal ganglion cell,ENSG00000245694,0.5144342,0.52104497
retinal ganglion cell,ENSG00000271945,0.3533543,0.52104497
retinal bipolar neuron,ENSG00000259481,0.19124551,0.18124962
retinal bipolar neuron,ENSG00000248550,0.17125374,0.18124962
rod bipolar cell,ENSG00000227681,1.0,1.0
rod bipolar cell,ENSG00000264630,1.0,1.0
retinal pigment epithelial cell,ENSG00000230448,1.0,1.0
S cone cell,ENSG00000250592,1.0,1.0
S cone cell,ENSG00000261460,1.0,1.0
S cone cell,ENSG00000250994,1.0,1.0
S cone cell,ENSG00000249364,0.5884882,1.0
S cone cell,ENSG00000259221,0.52959645,1.0
H1 horizontal cell,ENSG00000224020,0.36759096,0.36759096
H2 horizontal cell,ENSG00000244040,1.0,1.0
H2 horizontal cell,ENSG00000235688,1.0,1.0
starburst amacrine cell,ENSG00000240922,1.0,0.6228377
starburst amacrine cell,ENSG00000242808,0.6228377,0.6228377
starburst amacrine cell,ENSG00000253554,0.5517576,0.6228377
midget ganglion cell of retina,ENSG00000257398,0.44296747,0.41458458
midget ganglion cell of retina,ENSG00000239911,0.3862017,0.41458458
parasol ganglion cell of retina,ENSG00000227115,1.0,1.0
parasol ganglion cell of retina,ENSG00000232044,1.0,1.0
parasol ganglion cell of retina,ENSG00000286214,1.0,1.0
GABAergic amacrine cell,ENSG00000233452,0.8120202,0.608698
GABAergic amacrine cell,ENSG00000281880,0.40537584,0.608698
glycinergic amacrine cell,ENSG00000245526,0.27721992,0.1871338
glycinergic amacrine cell,ENSG00000247828,0.1871338,0.1871338
glycinergic amacrine cell,ENSG00000235244,0.18167189,0.1871338
